firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
142964,5000,1425,3,40.04166666666668,0.6041666666666667,39.583333333333336,0.0017631030613880741,0,0,0,0,200,346,316,230,147392.781241287,147585.95663276294,-193.17539147594348,-188.68857429131066,0,14.890054961577569,19.13246862726876,-0.2217389584344931,596.2226174198353,768.6383088714111,-0.22431316454254435,0.011446409989594406
143514,5000,1412,3,40.04166666666668,0.6041666666666667,39.583333333333336,0.0017631030613880741,50,1,0,1,179,365,286,258,335590.1655631371,335833.34095461306,-243.17539147594348,-188.68857429131066,0,14.890054961577569,19.13246862726876,-0.2217389584344931,596.2226174198353,768.6383088714111,-0.22431316454254435,0.011446409989594406
145711,5000,1357,2,40.04166666666668,0.5625,43.75,0.0,100,1,1,0,158,312,264,206,72055.89438263846,72355.89438263846,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.0926118626430798
146244,5000,1343,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,193,335,302,226,270914.7760643015,271114.7760643015,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
146991,5000,1325,2,40.04166666666668,0.46875,53.125,0.0,100,1,1,0,195,314,287,222,21535.87603372521,21835.87603372521,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.3267429760665969
151687,5000,1207,3,40.04166666666668,0.6458333333333333,35.416666666666664,0.017791312710370252,0,0,0,0,175,301,264,212,192474.7221182808,191979.79648501717,494.92563326361574,532.5751239589007,-0.0706932956526719,150.25419097591646,153.97081895278177,-0.02413852184552634,6016.428230327323,6185.708295203254,-0.027366318745938978,0.11550468262226879
152529,5000,1186,3,40.04166666666668,0.6145833333333333,38.541666666666664,0.005770155473633633,0,0,0,0,139,277,234,182,310454.72070716985,310581.6240737221,-126.9033665522557,-113.71511092056461,0,48.73108896516241,52.84205620864713,-0.07779726109166807,1951.274020646712,2122.9058054543766,-0.08084757428553424,0.03746097814776309
156604,5000,1084,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,151,259,231,179,111594.06164487483,111794.06164487483,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
157422,5000,1064,2,40.04166666666668,0.59375,40.625,0.0,50,1,0,1,124,245,214,155,155124.409682997,155374.409682997,-250.0,-200.0,0,0,0,0,0.0,0.0,0,-0.014568158168574102
157693,5000,1057,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,152,270,231,191,10666.340390211313,10866.340390211313,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
158576,5000,1035,3,40.04166666666668,0.65625,34.375,0.021798365122615786,100,1,1,0,131,268,229,170,168937.70958681373,168194.50331192988,743.2062748838416,888.4618171744642,-0.16349103527326847,184.09522497950107,187.6804065341599,-0.01910258838876877,7371.4796335541905,7539.975791786212,-0.022347042336074208,0.1415192507804373
159093,5000,1022,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,141,259,216,184,6857.50576301109,7157.50576301109,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
159223,5000,1019,2,40.04166666666668,0.5520833333333333,44.791666666666664,0.0,50,1,0,1,128,230,199,159,58536.911111475085,58786.911111475085,-250.0,-300.0,0,0,0,0,0.0,0.0,0,-0.11862643080124831
159232,5000,1019,2,40.04166666666668,0.59375,40.625,0.0,0,0,0,0,132,261,222,171,1975.2995277009613,2175.2995277009613,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.014568158168574102
160693,5000,982,3,40.04166666666668,0.625,37.5,0.009777207885879163,0,0,0,0,142,257,217,182,35699.906450509414,35690.03563796385,9.870812545566281,-68.51334008861454,0,82.57212296874701,86.55164379002527,-0.04597857010009643,3306.325423873579,3477.173302037333,-0.04913412801819561,0.0634755463059316
161114,5000,972,2,40.04166666666668,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,152,265,236,181,29287.559998768098,29487.559998768098,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.2226847034339227
161120,5000,972,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,144,238,225,157,28997.575026233157,29297.575026233157,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
162939,5000,926,3,40.04166666666668,0.6875,31.25,0.03381952235935241,100,1,1,0,158,238,235,161,153707.71819007664,151496.65706528732,2211.06112478933,2377.4917415883847,-0.07000260564012051,285.6183269902551,288.8091692782946,-0.011048272103039714,11436.633843234802,11602.77828153509,-0.0143193668161955,0.219562955254943
163069,5000,923,2,40.04166666666668,0.5625,43.75,0.0,0,0,0,0,137,229,201,165,88020.79301976945,88220.79301976945,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.0926118626430798
163182,5000,920,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,115,238,208,145,12992.33646026877,13192.33646026877,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
164295,5000,892,2,40.04166666666668,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,114,213,196,131,12705.598679800714,12905.598679800714,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.14464099895941698
164303,5000,892,2,40.04166666666668,0.59375,40.625,0.0,0,0,0,0,123,213,180,156,316128.2313229014,316328.2313229014,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.014568158168574102
165416,5000,864,2,40.04166666666668,0.5729166666666667,42.708333333333336,0.0,100,1,1,0,120,222,184,158,7510.14792691394,7810.14792691394,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.06659729448491129
167953,5000,801,3,40.04166666666668,0.6666666666666667,33.333333333333336,0.025805417534861316,0,0,0,0,124,195,174,145,16884.962926723176,15622.973856044975,1261.9890706782019,1314.576817851232,-0.040003555865977036,217.93625898308568,221.38999411553806,-0.015600231375632823,8726.531036781058,8894.243288369167,-0.01885626985349309,0.1675338189386058
170561,5000,735,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,101,173,145,129,26483.21846136957,26783.21846136957,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
173227,5000,669,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,89,177,143,123,60928.53632334566,61128.53632334566,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
174242,5000,643,2,40.04166666666668,0.5520833333333333,44.791666666666664,0.0,100,1,1,0,92,156,154,94,198176.2860671925,198476.2860671925,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.11862643080124831
174639,5000,634,3,40.04166666666668,0.6979166666666667,30.208333333333332,0.03782657477159795,0,0,0,0,107,166,143,130,60188.20812413877,57246.857741032676,2941.3503831060957,2964.291664648768,-0.007739211973053384,319.4593609938398,322.5187568596728,-0.009485947098463288,12791.685246461673,12957.04577811805,-0.01276220941780104,0.2455775234131116
175730,5000,606,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,83,152,135,100,19763.654158669386,19963.654158669386,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
177002,5000,574,2,40.04166666666668,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,78,159,123,114,57057.2979076006,57257.2979076006,-200.0,-250.0,0,0,0,0,0.0,0.0,0,-0.2226847034339227
177753,5000,556,2,40.04166666666668,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,93,148,137,104,152570.49719699094,152770.49719699094,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.06659729448491129
177936,5000,551,2,40.04166666666668,0.5625,43.75,0.0,0,0,0,0,98,165,149,114,64970.96295440098,65170.96295440098,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.0926118626430798
179369,5000,515,2,40.04166666666668,0.5729166666666667,42.708333333333336,0.0,50,1,0,1,65,123,97,91,74759.8752485956,75009.8752485956,-250.0,-200.0,0,0,0,0,0.0,0.0,0,-0.06659729448491129
179558,5000,511,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,88,131,119,100,25899.42357105316,26099.42357105316,-200.0,-250.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
179597,5000,510,2,40.04166666666668,0.53125,46.875,0.0,0,0,0,0,82,138,127,93,91277.99561675677,91477.99561675677,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.1706555671175855
181494,5000,462,2,40.04166666666668,0.5729166666666667,42.708333333333336,0.0,100,1,1,0,68,123,109,82,71173.50036269546,71473.50036269546,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.06659729448491129
181538,5000,461,3,40.04166666666668,0.6354166666666667,36.458333333333336,0.013784260298124695,0,0,0,0,77,119,99,97,62518.8156134192,62301.66846760168,217.14714581752276,246.91673820453985,-0.12056530716988767,116.41315697233162,120.26123137140341,-0.03199763011895129,4661.3768271004465,4831.44079862029,-0.03519943193103148,0.0894901144641001
181713,5000,457,2,40.04166666666668,0.5729166666666667,42.708333333333336,0.0,100,1,1,0,77,125,123,79,6108.301862513574,6408.301862513574,-300.0,-300.0,0,0,0,0,0.0,0.0,0,-0.06659729448491129
