period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
2060,1.1072028930815234,0,0,42,0.0,0.0,1.0,42,1250.0,14,11,3,407.6232929649748,0.7691205179528998,0.2947103206244335,0.2606354616853252,37258.606297498816,-5362.504841945598,31896.101455553217,2032,57,911.1666666666666,35,7,3,29.9984489097532,0.6683890577507599,40.57328605200946,287.23800822584803,8.206800235024229,0
2061,1.0490751250722994,0,1,41,0.0,0.023809523809523808,0.9761904761904762,42,1300.0,18,8,10,409.57957660580433,0.7688734030197445,0.2967536305302263,0.26213092902771495,35311.454903821475,-5507.429850231564,29804.02505358991,2033,58,912.1666666666666,36,6,3,29.913610985362922,0.6666666666666665,40.54054054054055,272.19246488362387,7.560901802322885,0
2062,1.3679490045197245,0,0,41,0.0,0.0,1.0,41,1250.0,16,9,7,409.8360655737708,0.7633108458744162,0.2974810075969614,0.26315789473684226,46085.45265566223,-4422.44837628396,41663.00427937827,2034,59,933.6829268292682,31,10,7,29.787234042553198,0.6794783802333562,40.42553191489362,355.08463521575817,11.45434307147607,0
2063,1.0617024917006004,0,0,41,0.0,0.0,1.0,41,750.0,11,4,7,404.7600522572218,0.7635703165542295,0.29389362327358226,0.26083140013470035,35802.675675855746,-5301.701424498454,30500.974251357293,2035,60,934.6829268292682,33,8,3,29.788772109715463,0.6756931012250161,40.30037546933667,275.7237384579156,8.355264801755018,0
2064,1.422436722625648,0,0,41,0.0,0.0,1.0,41,1550.0,18,13,5,407.9447979670897,0.7635703165542295,0.2800726713459818,0.2414608577409667,46844.06997429033,-4372.848146565142,42471.22182772519,2036,61,935.6829268292682,32,9,7,32.88959208054156,0.6466090425531914,43.35912314635719,365.05540776346845,11.40798149260839,7
2065,1.2474939059291543,0,0,41,0.0,0.0,1.0,41,500.0,8,2,6,409.88023935093327,0.7638816813700052,0.28158141415626625,0.2428174453654861,41093.127593614445,-4831.3478052501705,36261.77978836428,2037,62,936.6829268292682,32,9,4,32.80636213503503,0.646941489361702,43.32688588007738,320.19814568046223,10.006192052514445,0
2066,1.365578441476347,1,0,42,0.023809523809523808,0.0,1.0,42,700.0,9,5,4,367.9632968849636,0.7733214718165419,0.20553808797434847,0.21958173854422625,45077.504201449774,-5082.626587737744,39994.87761371203,2038,0,915.3571428571429,37,5,4,33.60255560243505,0.6388729154686601,43.05711086226204,350.8756700971423,9.483126218841683,6
2067,1.5039195396634133,0,0,42,0.0,0.0,1.0,42,1200.0,16,8,8,366.4943682629188,0.773099068376702,0.2024380122419338,0.21903764978213514,49665.7580196081,-4759.5558780609435,44906.20214154716,2039,1,916.3571428571429,37,5,4,33.58225559727437,0.6394479585968946,43.00111982082867,386.5056375730722,10.446098312785734,0
2068,1.4365804326613048,0,0,42,0.0,0.0,1.0,42,900.0,13,5,8,358.8339572515399,0.772827241950231,0.04999476713762441,0.20206615167011205,46618.6652801161,-5050.589148369828,41568.076131746275,2040,2,917.3571428571429,37,5,6,36.09913490764555,0.61644623346751,45.24076147816349,365.98213710016427,9.89140911081525,6
2069,1.8418800950702268,0,1,41,0.0,0.023809523809523808,0.9761904761904762,42,1350.0,16,11,5,363.63436300233855,0.7723083005906046,0.05122813624571143,0.20536769483705253,59823.65683172526,-4049.212531105022,55774.444300620235,2041,3,918.3571428571429,37,5,6,35.8607860000748,0.6175963197239793,45.128779395296746,469.442228038055,12.687627784812298,0
2070,1.7268012457342725,0,0,41,0.0,0.0,1.0,41,800.0,10,6,4,364.0255962283569,0.7722885313959523,0.046178054832657356,0.20583233011228397,56105.915877263775,-4115.202104168203,51990.71377309557,2042,4,901.8536585365854,36,5,6,35.803763840826285,0.6199763593380615,45.08338125359402,440.19033480966255,12.227509300268403,0
2071,1.6585275292927115,0,0,41,0.0,0.0,1.0,41,900.0,12,6,6,363.5031559963933,0.7725998962117281,0.03979634476236549,0.20646606914212537,53960.57885922019,-4277.031857056243,49683.54700216395,2043,5,902.8536585365854,36,5,6,35.63829787234043,0.6217494089834517,44.91086831512363,423.0723473227408,11.752009647853912,0
