firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology
11663,2100,1808,2,39.77272727272727,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,179,389,316,252,530564.1747389355,530764.1747389355,-200.0,-200.0,0,0,0.0,0.0,55181241200935415077677784598
12253,2100,1793,3,39.77272727272727,0.6041666666666667,39.583333333333336,0.0007278020378456995,0,0,0,0,228,410,362,276,313993.2669355257,314192.145672314,-198.87873678827947,-196.50314839721406,5.920269757884486,10.490554808357764,235.46527446131478,418.74797943361415,33384167010531518033893250974
12280,2100,1793,3,39.77272727272727,0.6666666666666667,33.333333333333336,0.024745269286754,50,1,0,1,232,433,371,294,363735.8418008166,362689.6615280676,1046.180272748963,1113.9906783116746,201.2891717680743,207.18845746506443,8005.819331684774,8270.272593813823,9684478504874699353371172502
12336,2100,1791,2,39.77272727272727,0.53125,46.875,0.0,0,0,0,0,202,403,344,261,96961.45662405809,97161.45662405809,-200.0,-300.0,0,0,0.0,0.0,47942165775461444563572022284
12357,2100,1791,3,39.77272727272727,0.625,37.5,0.008733624454148475,0,0,0,0,186,387,307,266,101241.43727709808,101279.97537461032,-38.538097512239744,-16.196737628565586,71.0432370946145,76.0565223605934,2825.583293535804,3035.922850893687,46566311924478925114781163404
12514,2100,1787,3,39.77272727272727,0.6041666666666667,39.583333333333336,0.0007278020378456995,100,1,1,0,191,384,309,266,366171.61750625673,366470.496243045,-298.87873678827947,-196.50314839721406,5.920269757884486,10.490554808357764,235.46527446131478,418.74797943361415,27007187857193252640914816508
12641,2100,1783,2,39.77272727272727,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,213,414,370,257,243768.35451857754,243968.35451857754,-200.0,-200.0,0,0,0.0,0.0,26430680817310084039497173524
12905,2100,1777,2,39.77272727272727,0.5520833333333333,44.791666666666664,0.0,100,1,1,0,206,415,343,278,61769.81265398345,62069.81265398345,-300.0,-200.0,0,0,0.0,0.0,65440418352435036110894079894
13377,2100,1765,2,39.77272727272727,0.59375,40.625,0.0,0,0,0,0,206,425,368,263,106456.40186009758,106656.40186009758,-200.0,-250.0,0,0,0.0,0.0,48241662416068698985303070668
13461,2100,1763,2,39.77272727272727,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,209,405,352,262,241607.60781353636,241807.60781353636,-200.0,-200.0,0,0,0.0,0.0,24876028071859443368643254292
