period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
47,4,4,0,0,26,0.0,0.0,1.0,26,450,300,150,0.6666666666666666,6,3,3,411.0273443082463,0.4774038461538461,0.14487622304111292,0.24503411689781648,132001.2461181602,5201.224327465305,137202.4704456255,45,3,27.346153846153847,26,0,21,32.53460229263654,0.6678685897435898,43.094135802469125,1027.6234567901222,39.52397910731239,0.0
48,4,4,0,0,26,0.0,0.0,1.0,26,750,400,350,0.5333333333333333,11,4,7,414.35554075227674,0.47695512820512825,0.15289370692342374,0.24805489380345158,132159.87761488312,5002.235510973896,137162.11312585702,46,4,28.346153846153847,26,0,23,32.28838361098605,0.6694711538461539,42.939814814814795,1028.2407407407384,39.54772079772071,0.0
49,4,4,0,0,26,0.0,0.0,1.0,26,850,600,250,0.7058823529411765,11,6,5,414.49914568414533,0.47692307692307695,0.15453853077615465,0.2489235410027487,132278.91375171454,4915.899348422472,137194.81310013702,47,5,29.346153846153847,26,0,22,32.16415391539154,0.6706730769230769,42.82407407407406,1028.7037037037026,39.56552706552702,0.0
50,4,4,1,1,26,0.037037037037037035,0.037037037037037035,0.962962962962963,27,1050,700,350,0.6666666666666666,14,7,7,401.55351952977327,0.4773860398860399,0.15963631501537612,0.24414030928390504,132742.8147365716,4210.668889951788,136953.48362652338,48,0,29.22222222222222,27,0,20,32.028429602888075,0.6716820987654322,42.37351190476189,1030.5059523809514,38.16688712522042,0.0
51,4,4,0,0,26,0.0,0.0,1.0,26,650,400,250,0.6153846153846154,9,4,5,415.30881807656203,0.4763141025641026,0.15435328830594064,0.2515218740329375,132596.60541457083,5163.70789513792,137760.31330970876,49,1,29.846153846153847,26,0,23,31.821870941963855,0.6738782051282051,42.51543209876542,1029.9382716049372,39.613010446343736,0.0
52,4,4,0,0,26,0.0,0.0,1.0,26,550,400,150,0.7272727272727273,7,4,3,415.8848630223456,0.4760897435897436,0.15697493517718208,0.2521372807151822,132636.34366426608,5282.2895233196095,137918.63318758568,50,2,30.846153846153847,26,0,22,31.76685393258427,0.6742788461538461,42.47685185185185,1030.0925925925924,39.61894586894586,0.0
53,4,4,0,0,26,0.0,0.0,1.0,26,700,500,200,0.7142857142857143,9,5,4,415.4665792635667,0.4760576923076923,0.15555145872701304,0.25215044392396097,132676.087867703,5124.496075293389,137800.5839429964,51,3,31.846153846153847,26,0,22,31.737442580387466,0.6746794871794872,42.438271604938265,1030.2469135802462,39.62488129154793,0.0
54,4,4,0,0,26,0.0,0.0,1.0,26,850,600,250,0.7058823529411765,11,6,5,417.20853524749145,0.47663461538461543,0.16017001866058456,0.2537448632406875,132755.59413580247,5027.353395061722,137782.94753086418,52,4,32.84615384615385,26,0,21,31.612196765498652,0.6754807692307692,42.36111111111111,1030.5555555555554,39.63675213675213,0.0
55,4,4,0,0,26,0.0,0.0,1.0,26,950,700,250,0.7368421052631579,12,7,5,418.4167488485298,0.47583333333333333,0.16274049255638823,0.2552915341604591,132874.89819101506,4969.416580932778,137844.31477194783,53,5,33.84615384615385,26,0,20,31.46048495734172,0.6766826923076923,42.24537037037037,1031.0185185185182,39.654558404558394,0.0
56,4,4,0,1,25,0.0,0.038461538461538464,0.9615384615384616,26,600,400,200,0.6666666666666666,8,4,4,416.11138152197486,0.4755128205128205,0.15740857974884603,0.25442565075126794,132954.46399653264,5264.773138622175,138219.2371351548,54,6,34.84615384615385,26,0,22,31.439535637687673,0.6774839743589743,42.168209876543216,1031.3271604938277,39.6664292497626,0.0
