period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
46.0,4.0,4.0,0.74,0.69,28.614,0.023861989796553972,0.022306881833630596,0.9776931181663695,29.304,904.9,622.4,282.5,0.671852701846006,11.874,6.224,5.65,392.7549537449335,0.454385448784152,0.20276185369246205,0.2170661842960201,129017.94972426986,3369.47215990938,132387.42188417926,44.828,1.758,27.049441756700062,28.958,0.346,18.78,36.04229113265989,0.6272887620090516,46.017900664522756,1015.928397341908,35.40692894907762,0.816
47.0,4.0,4.0,0.686,0.738,28.562,0.021916151806542942,0.02363558984919526,0.976364410150804,29.3,914.5,630.2,284.3,0.6729515981732263,11.988,6.302,5.686,393.1290788074419,0.4539275157741922,0.20367585914860742,0.2174028992536662,129035.92939023269,3372.1342406205486,132408.06363085328,45.824,1.832,27.678636440792904,28.938,0.362,18.89,36.014259361565834,0.6275057388485272,46.00025929959305,1015.9989628016277,35.44014171366585,0.692
48.0,4.0,4.0,0.742,0.74,28.564,0.02351996016952454,0.024024020410876507,0.9759759795891234,29.304,908.6,623.2,285.4,0.673526691808223,11.94,6.232,5.708,394.00749658792193,0.45346721586847927,0.2054756623660949,0.21787128741250475,129035.02276063482,3399.2614128170994,132434.28417345203,46.82,1.756,28.277531798838677,28.932,0.372,18.738,35.9936445858578,0.6275053339851787,46.001619875131425,1015.9935204994748,35.45808055497715,0.826
49.0,4.0,4.0,0.786,0.74,28.61,0.024658828305123823,0.023233197412502498,0.9767668025874972,29.35,919.5,642.0,277.5,0.6859581363646668,11.97,6.42,5.55,394.4118742273769,0.4530096244184162,0.2066341469502861,0.21803823203970532,129024.04276792299,3388.7201030638967,132412.7628709869,47.812,1.884,28.81865042897426,28.968,0.382,18.834,35.994666700731536,0.6273719478420505,46.01247874990616,1015.9500850003756,35.45172478661248,1.016
50.0,4.0,4.0,0.722,0.674,28.658,0.02326814518914482,0.021946719784873437,0.9780532802151268,29.332,897.8,624.0,273.8,0.6827423972399167,11.716,6.24,5.476,394.9199330167928,0.4526443364073549,0.20800166295716982,0.21832336958570484,129024.13438019942,3427.3065933725634,132451.44097357188,48.79,1.89,29.382881248702425,28.956,0.376,18.832,35.98144106365016,0.6273551059078367,46.01224980489946,1015.9510007804014,35.44596999491197,0.822
51.0,4.0,4.0,0.684,0.656,28.686,0.021884963529355393,0.02088816962575654,0.9791118303742438,29.342,916.3,622.6,293.7,0.6652354174353156,12.1,6.226,5.874,394.9393405802914,0.4521345538550655,0.20801333034283306,0.21859371219177462,129070.23790733372,3411.1726042778355,132481.41051161167,49.784,2.074,29.98056254132572,28.934,0.408,18.856,35.93345579940562,0.6278195215362721,45.966667608558325,1016.1333295657669,35.48390173527714,0.74
52.0,4.0,4.0,0.744,0.718,28.712,0.0236577166664354,0.02290007872124751,0.9770999212787519,29.43,899.4,618.0,281.4,0.6767302904332781,11.808,6.18,5.628,394.55160191890064,0.4518148229308969,0.2096196137645564,0.21849310234619612,129087.76913155822,3401.8765358054284,132489.64566736374,50.776,2.016,30.521431260313594,29.008,0.422,18.732,35.92561006233083,0.627732515354854,45.94965688235211,1016.201372470591,35.40160164421861,0.904
53.0,4.0,4.0,0.702,0.596,28.818,0.022432299015378278,0.018939223919248425,0.981060776080752,29.414,903.8,619.8,284.0,0.6740928413366956,11.878,6.198,5.68,394.88094934938255,0.4514364871450154,0.21028705515248639,0.21873009011234154,129095.0903862595,3410.094195909581,132505.18458216923,51.766,2.004,31.136821331158448,29.02,0.394,18.784,35.90943388736249,0.6278331176771996,45.94230464114473,1016.230781435422,35.38039881125904,0.826
54.0,4.0,4.0,0.65,0.572,28.896,0.02057400152075613,0.018299411724275214,0.9817005882757246,29.468,906.5,621.0,285.5,0.6721524747667005,11.92,6.21,5.71,394.7219919503728,0.4510126659289717,0.21128755222053092,0.21871339054038474,129105.21869607046,3393.2916048884153,132498.51030095888,52.766,2.104,31.71428711646272,29.044,0.424,18.754,35.903389872188356,0.6277988823005972,45.932605711927586,1016.2695771522892,35.35959666678439,0.776
55.0,4.0,4.0,0.742,0.662,28.976,0.02352148380005966,0.02078130609544656,0.9792186939045534,29.638,906.3,625.2,281.1,0.6758871642491606,11.874,6.252,5.622,393.5337846201436,0.45080427860705075,0.21342578840872695,0.21815217349997834,129120.91842718059,3330.0683570592123,132450.98678423974,53.752,2.076,32.173439617366846,29.208,0.43,18.672,35.91764132664903,0.6274980172868625,45.91728167513938,1016.3308732994428,35.18027074264347,0.922
56.0,4.0,4.0,0.698,0.622,29.052,0.022136524346267113,0.019717244725636143,0.9802827552743631,29.674,922.3,631.6,290.7,0.6718860488574266,12.13,6.316,5.814,393.66316537819927,0.45051349362019705,0.21517185089501736,0.21851620937346652,129165.92893711495,3314.222953483034,132480.15189059806,54.752,2.088,32.75812069451886,29.2,0.474,18.648,35.86827166061438,0.6278032692238907,45.8731665335767,1016.5073338656935,35.17556012719612,0.702
57.0,4.0,4.0,0.636,0.582,29.106,0.020256743502552417,0.01880866991212333,0.9811913300878764,29.688,915.0,627.0,288.0,0.6719019302522447,12.03,6.27,5.76,393.84625535259255,0.45005916571873367,0.21617922976304255,0.21887329619809015,129207.77000130453,3326.9619582168357,132534.7319595214,55.746,2.086,33.33801347475318,29.212,0.476,18.692,35.82083993631779,0.628166892753985,45.8321082185238,1016.6715671259047,35.16888931965673,0.682
58.0,4.0,4.0,0.642,0.634,29.114,0.020336878404551582,0.02001876276180669,0.9799812372381927,29.748,915.9,633.8,282.1,0.6795131437633257,11.98,6.338,5.642,394.24138317587034,0.4497753189832239,0.21804197958632632,0.21893510748974646,129179.19728913915,3321.6784709255357,132500.8757600649,56.74,2.118,33.85719611258618,29.26,0.488,18.66,35.840635932380806,0.627752661366286,45.86065294678035,1016.5573882128785,35.13065261962291,0.892
59.0,4.0,4.0,0.748,0.646,29.216,0.023341358268096465,0.020281094017531535,0.9797189059824687,29.862,890.6,611.0,279.6,0.6688604863635683,11.702,6.11,5.592,393.8393572592632,0.4495228942457204,0.2199696460586348,0.21876609308153633,129185.15672949064,3314.555250013136,132499.71197950377,57.74,2.194,34.3491008231919,29.354,0.508,18.72,35.844609732534956,0.6275154327841517,45.854786317973875,1016.580854728104,35.03124231583731,0.898
60.0,4.0,4.0,0.714,0.658,29.272,0.022514680892606935,0.020729293646023158,0.9792707063539767,29.93,913.0,628.4,284.6,0.6771695576611567,11.976,6.284,5.692,393.6467502699811,0.4493289582529455,0.2215497149080889,0.21881259056566302,129213.75325436032,3275.848671903286,132489.60192626363,58.734,2.144,34.85557868964878,29.37,0.56,18.53,35.82010024226221,0.6275801813278539,45.826503502116275,1016.693985991535,35.00090101850811,0.86
