period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1953,3.709791872943568,4,1,2,31,0.030303030303030304,0.06060606060606061,0.9393939393939394,33,500,300,200,0.6,7,3,4,373.2195646331628,0.4040798611111111,0.2675111773472425,0.20696721311475408,119827.5656182554,1844.3983742194137,121671.9639924748,1074,0,321.8787878787879,31,2,16,36.34733606557377,0.617739898989899,45.833333333333336,942.9054343731573,30.416304334617976,0
1954,4.014553420407177,4,0,0,31,0.0,0.0,1.0,31,900,600,300,0.6666666666666666,12,6,6,392.49271576183844,0.3939964157706093,0.25962704281152327,0.21615706707700105,129397.32262816482,3057.5013141278537,132454.82394229269,1075,1,343.38709677419354,30,1,19,36.13684489147697,0.6199596774193548,46.102150537634415,1019.2864799931672,33.976215999772236,0
1955,3.7057351432070256,4,0,1,30,0.0,0.03225806451612903,0.967741935483871,31,700,500,200,0.7142857142857143,9,5,4,393.52866661067685,0.39350358422939063,0.2610940433521074,0.21747636839011122,119569.96929784007,2510.842116891733,122080.8114147318,1076,2,344.38709677419354,30,1,20,35.970844356261026,0.6213037634408602,45.967741935483886,941.3762662179156,31.37920887393052,0
1956,3.5634577894450405,4,3,1,32,0.09090909090909091,0.030303030303030304,0.9696969696969697,33,800,500,300,0.625,11,5,6,361.8392728220094,0.402383207070707,0.24080327795038015,0.2046368324447167,115788.09207957108,979.3358079039965,116767.42788747507,1077,0,316.969696969697,32,1,19,35.85159732540862,0.6253156565656566,45.0757575757576,908.4117773850451,28.38786804328266,0
1957,3.6196244065328216,4,0,0,32,0.0,0.0,1.0,32,650,400,250,0.6153846153846154,9,4,5,371.6440773624613,0.3958333333333333,0.23715113679907995,0.20977660286018132,117544.8688290377,1686.9708649318688,119231.83969396957,1078,1,327.59375,31,1,21,35.678380593519826,0.626953125,45.14973958333335,922.462222615414,29.756845890819807,0
1958,3.8452083460893234,4,0,1,31,0.0,0.03125,0.96875,32,1000,600,400,0.6,14,6,8,373.9473481656808,0.395476310483871,0.24414087428206743,0.21215622540753898,125062.02587194624,1953.3225862084262,127015.34845815467,1079,2,328.59375,31,1,20,35.417065517974905,0.6292317708333333,44.95442708333334,980.7033656123009,31.635592439106482,0
1959,3.396491721074505,4,1,0,32,0.03125,0.0,1.0,32,950,600,350,0.631578947368421,13,6,7,374.18922543242195,0.3951612903225807,0.24115193497433185,0.2135774264169878,110667.21064393723,932.0955663243057,111599.30621026154,1080,0,329.3125,30,2,17,35.17232679566495,0.6315104166666667,44.72446236559139,867.0412501681116,28.901375005603718,0
1960,3.559684649041385,4,0,0,32,0.0,0.0,1.0,32,1250,700,550,0.56,18,7,11,370.7129501385043,0.39457325268817206,0.2327960526315791,0.2121550015852885,116076.11413746701,956.1837425028208,117032.29787996983,1081,1,330.3125,30,2,19,35.15652412280703,0.6328125,44.62365591397849,909.0592517713206,30.30197505904402,0
1961,3.806074792521022,4,0,0,32,0.0,0.0,1.0,32,600,500,100,0.8333333333333334,7,5,2,372.462298598048,0.39413222446236557,0.23820777982375385,0.21372308348988334,124208.53797292881,2252.5995117799816,126461.13748470879,1082,2,331.3125,30,2,21,35.00728878951292,0.6337890625,44.52284946236558,972.3651427263873,32.41217142421291,0
1962,3.6073907343536598,4,0,0,32,0.0,0.0,1.0,32,1150,1000,150,0.8695652173913043,13,10,3,376.40688821254616,0.3943632392473118,0.24728457341921928,0.21675451920006336,117848.5296984684,1321.7996688448577,119170.32936731326,1083,3,332.3125,30,2,17,34.76704570351867,0.6354166666666667,44.38844086021505,922.0907700345522,30.73635900115174,0
1963,3.862682280123939,4,0,0,32,0.0,0.0,1.0,32,900,600,300,0.6666666666666666,12,6,6,375.6078104077809,0.39442624327956993,0.24736302023673162,0.2171560387324455,126336.85899361227,2190.622196077452,128527.48118968973,1084,4,333.3125,31,1,21,34.6316713334182,0.6370442708333333,44.23828125,987.9262589496676,31.868588998376374,0
1964,4.169319835893232,4,1,0,33,0.030303030303030304,0.0,1.0,33,950,700,250,0.7368421052631579,12,7,5,365.4386049485381,0.398398042929293,0.24834814308498476,0.2131418692988851,136718.66919542968,2442.4559482397035,139161.1251436694,1085,0,324.1818181818182,32,1,23,34.5492316857718,0.6379419191919191,43.907828282828284,1067.7301713573802,33.36656785491813,0
1965,4.614471787371866,4,0,0,33,0.0,0.0,1.0,33,750,500,250,0.6666666666666666,10,5,5,363.0074005772871,0.39800347222222227,0.2422300879669037,0.21225994690816016,151427.8409696379,3643.88538508382,155071.72635472173,1086,1,325.1818181818182,32,1,22,34.51335838672579,0.6388888888888888,43.813131313131315,1182.167077850697,36.94272118283428,0
1966,5.0868219473783824,4,0,0,33,0.0,0.0,1.0,33,750,500,250,0.6666666666666666,10,5,5,365.363043175133,0.39780618686868685,0.24757417949339744,0.21418490237660598,167053.13141416578,4857.008093082985,171910.13950724876,1087,2,326.1818181818182,31,2,24,34.353830602481054,0.6398358585858586,43.71744791666666,1303.663710667642,42.053668086052966,0
1967,4.961775395688246,4,0,0,33,0.0,0.0,1.0,33,1250,1000,250,0.8,15,10,5,374.26620185575496,0.39764835858585856,0.27376728504222014,0.21079570936341913,161024.3127710776,4203.191589452861,165227.50436053044,1088,3,327.1818181818182,32,1,19,35.69854004047412,0.6240530303030303,45.233585858585855,1264.09372533459,39.50292891670594,8
1968,5.268826244711699,4,0,0,33,0.0,0.0,1.0,33,1250,900,350,0.72,16,9,7,377.2004000627028,0.39721433080808083,0.28092214867846343,0.21332425986739417,171200.94425727634,5065.412932991427,176266.35719026776,1089,4,328.1818181818182,32,1,22,35.46000495294698,0.6256313131313131,45.07575757575758,1343.1515388980965,41.97348559056552,0
1969,4.74358996948887,4,1,0,34,0.029411764705882353,0.0,1.0,34,600,300,300,0.5,9,3,6,369.274792640015,0.4014965834818776,0.28640642504837666,0.21057517442081553,154516.29090618095,4011.794256776853,158528.0851629578,1090,0,319.5,32,2,22,35.33473493280567,0.626531862745098,44.76010101010102,1210.7534246618384,37.83604452068245,0
1970,4.963305725581235,4,0,2,32,0.0,0.058823529411764705,0.9411764705882353,34,950,400,550,0.42105263157894735,15,4,11,366.2191284966846,0.4017751039809863,0.27709376547625575,0.2049676692999769,160767.3530122148,4025.215982170431,164792.56899438522,1091,1,320.5,34,0,17,36.155041705643896,0.6200980392156863,45.476190476190474,1263.2794811062715,37.15527885606681,8
1971,4.4995016857507135,4,3,1,34,0.08571428571428572,0.02857142857142857,0.9714285714285714,35,900,500,400,0.5555555555555556,13,5,8,352.27235339285585,0.4064425770308124,0.2693377419041141,0.19980235024482795,146329.89060818576,2409.594987252936,148739.4855954387,1092,0,312.0571428571429,35,0,17,35.981109598366245,0.6232142857142857,44.96527777777777,1147.5291625638529,32.786547501824366,0
1972,4.765558932478353,4,0,2,32,0.0,0.058823529411764705,0.9411764705882353,34,1100,700,400,0.6363636363636364,15,7,8,368.00890964715444,0.40400326797385616,0.2748500249958352,0.193891261351411,151487.635973774,3249.7599479467053,154737.39592172072,1093,1,322.2352941176471,34,0,16,38.57806106389677,0.5955882352941176,47.85714285714285,1201.601645117754,35.34122485640453,8
1973,4.87281537829914,4,1,0,33,0.030303030303030304,0.0,1.0,33,800,500,300,0.625,11,5,6,369.4580173563714,0.40246212121212116,0.2569190754209576,0.19570583208774445,155162.86615116402,4065.2329791081947,159228.09913027223,1094,0,323.09090909090907,33,0,15,38.317323256849185,0.6000631313131313,47.640931372549005,1229.6991504610887,37.26361062003299,0
1974,4.7563957605727465,4,0,1,32,0.0,0.030303030303030304,0.9696969696969697,33,900,400,500,0.4444444444444444,14,4,10,367.21180130078255,0.402383207070707,0.2528243601059139,0.19496296667000282,151566.11226426196,3631.373020143237,155197.4852844052,1095,1,324.09090909090907,33,0,17,38.27872168284789,0.601010101010101,47.54901960784313,1200.756772889687,36.38656887544506,0
1975,4.46505202246685,4,1,0,33,0.030303030303030304,0.0,1.0,33,1100,800,300,0.7272727272727273,14,8,6,360.0978512396696,0.4003314393939394,0.2362828282828282,0.1926593562079943,142627.7806683943,2571.991469154329,145199.77213754863,1096,0,324.24242424242425,33,0,14,38.14090909090909,0.6041666666666667,47.24264705882353,1128.5747299433672,34.199234240708094,0
