firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,magtechshock
63866,2100,503,3,41.51995305164319,0.6458333333333333,35.416666666666664,0.02361221478033829,0,0,0,0,83,132,116,99,218220.207888602,217216.69118991608,1003.516698685911,1013.2962329978598,197.1915821693069,197.3705757544967,8187.385233848864,8203.504124302952,74613257417856790836223017900,0
64170,2100,495,3,41.51995305164319,0.65625,34.375,0.02764218412986717,0,0,0,0,76,137,121,92,141954.13334750748,140504.74325464366,1449.390092863805,1409.3231158559472,230.8468762414722,230.81523178926815,9584.751463664412,9593.59670861204,79057139165403417332614561896,0
64414,2100,489,2,41.51995305164319,0.5625,43.75,0.0,100,1,1,0,84,137,127,94,107377.52598828534,107677.52598828534,-300.0,-200.0,0,0,0.0,0.0,59583507263608325708836182828,0
67272,2100,418,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,65,128,106,87,6476.501694077255,6676.501694077255,-200.0,-250.0,0,0,0.0,0.0,68577534411425462805952179132,0
67339,2100,416,3,41.51995305164319,0.59375,40.625,0.003462368032693833,50,1,0,1,53,102,83,72,156596.49079461594,156820.61312706434,-224.12233244839666,-200.0,28.915111808480077,0,1200.5540847711065,0.0,60509696344549960144067647032,0
67408,2100,414,2,41.51995305164319,0.5833333333333333,41.666666666666664,0.0,50,1,0,1,63,116,93,86,31808.46718112758,32058.46718112758,-250.0,-200.0,0,0,0.0,0.0,69867215912935450951107936288,0
67457,2100,413,2,41.51995305164319,0.5416666666666667,45.833333333333336,0.0,100,1,1,0,73,119,117,75,30174.101752486793,30474.101752486793,-300.0,-200.0,0,0,0.0,0.0,61863223538276730130175257238,0
67536,2100,411,2,41.51995305164319,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,68,114,99,83,60185.14108779955,60385.14108779955,-200.0,-300.0,0,0,0.0,0.0,49830478367629578130035759764,0
67670,2100,408,3,41.51995305164319,0.6666666666666667,33.333333333333336,0.03167215347939605,0,0,0,0,70,107,101,76,170438.27226440818,168472.8935813828,1965.3786830253762,1975.0263654531414,264.50217031363746,264.2598878240396,10982.117693479959,10983.689292921128,59995283614120951072336267052,0
67812,2100,404,3,41.51995305164319,0.59375,40.625,0.003462368032693833,50,1,0,1,71,107,98,80,110572.35901638652,110796.48134883492,-224.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,58011641153734550461378682810,0
68012,2100,399,3,41.51995305164319,0.59375,40.625,0.003462368032693833,100,1,1,0,75,127,117,85,63786.704282059545,64060.82661450794,-274.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,21846163782346444728957273648,0
68047,2100,398,3,41.51995305164319,0.625,37.5,0.015552276081280502,0,0,0,0,53,117,95,75,171229.08423118384,170906.9687329027,322.11549828115403,330.27156749900416,129.88099402497613,130.4812636849536,5392.652774217759,5423.318955684765,74663567328737195313177958958,0
68353,2100,391,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,100,1,1,0,52,94,83,63,80641.80350557854,80941.80350557854,-300.0,-200.0,0,0,0.0,0.0,66194502331388353042276862958,0
68477,2100,388,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,60,102,91,71,120673.58651237465,120873.58651237465,-200.0,-200.0,0,0,0.0,0.0,78231497433754815935889546298,0
